https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume XRP,Volume EUR,tradecount
1595548800000,2020-07-24,XRPEUR,0.18045,0.18045,0.17549,0.17651,271114.8,48285.848143,229
1595462400000,2020-07-23,XRPEUR,0.17728,0.18204,0.17507,0.18045,280825.4,50013.34033,349
1595376000000,2020-07-22,XRPEUR,0.17291,0.17725,0.17161,0.17725,130388.0,22710.019329,163
1595289600000,2020-07-21,XRPEUR,0.1705,0.17653,0.1705,0.17428,333387.4,57881.952498,208
1595203200000,2020-07-20,XRPEUR,0.17572,0.17572,0.169,0.1705,233498.7,40244.537296,271
1595116800000,2020-07-19,XRPEUR,0.17645,0.17779,0.17269,0.1753,132242.2,23086.452145,140
1595030400000,2020-07-18,XRPEUR,0.17102,0.17776,0.17056,0.17549,116783.3,20378.176731,142
1594944000000,2020-07-17,XRPEUR,0.17096,0.17425,0.16914,0.17102,100435.0,17212.236614,142
1594857600000,2020-07-16,XRPEUR,0.1734,0.17375,0.16651,0.17138,281955.8,47762.096796,384
1594771200000,2020-07-15,XRPEUR,0.17568,0.17606,0.173,0.1737,149119.0,26018.520198,295
1594684800000,2020-07-14,XRPEUR,0.17545,0.17648,0.17319,0.1759,257176.1,45073.082498,372
1594598400000,2020-07-13,XRPEUR,0.17878,0.183,0.171,0.17532,392602.9,69963.550012,525
1594512000000,2020-07-12,XRPEUR,0.17988,0.18088,0.17619,0.17874,84764.7,15103.500958,177
1594425600000,2020-07-11,XRPEUR,0.17713,0.18176,0.17679,0.17882,82495.0,14755.165561,189
1594339200000,2020-07-10,XRPEUR,0.18071,0.18071,0.17231,0.17706,333671.0,58614.19689,436
1594252800000,2020-07-09,XRPEUR,0.18194,0.188,0.17528,0.17972,413057.0,74973.79468,556
1594166400000,2020-07-08,XRPEUR,0.16628,0.18379,0.16628,0.18195,429354.2,76032.763915,677
